index,relevant,text,pred
6222,1,fairfax co  investigating firefighter khalil abdul rasheed for facebook post saying police shld be put in body bags  ,0
3212,0,trident 90225 chevy fire truck w  pumper  ims fire dept  red ho 1 87  plastic  ,1
7333,1, house  burned  down my house burned down  california fire  ,0
6674,0, yes god doessnt change  he says not to rejoice over the fall of people or calamities like wild fires  ect  you wanna be punished ,1
8226,0, losangelestimes   the package includes  576 5 million for  california wildfire     ,1
6437,1, true because of the truck that caught fire ,0
7747,0, california wildfires claim iconic  glass house  in solano county  via fox news  ,1
6401,0,my asshole is on fire  ,1
3170,0,morganite gemstone white fire opal 925 sterling silver ring size 6 r1354  ,1
7633,0,insurance payouts may not cover all wildfire damage for california wineries ,1
7687,0,family miraculously finds dog they lost when escaping california wildfires  ,1
7100,0,u s  house panel approves  36 5 billion for hurricane  wildfire relief  ,1
6649,1,hey    my moms house burned down in the ca wild fires  amp  i bought her an e gift card to buy her clothes  cont  ,0
7409,0,i am buying more  wine to show my  solidarity to those affected by the  californiawildfires   ,1
8176,0,central california wine tour raises money for fire relief   vacation  travel  holiday ,1
8216,0,wildfire breaks out in california s ventura county  ,1
6567,1,hellfire  we don   trade_mark t even want to think about it or mention it so let   trade_mark s not do anything that leads to it  islam ,0
1155,0,jane kelsey on the fire economy 5th aug 5 30   7 30pm old govt buildings wgton the context  amp  the driver for  tpp and  tradeinservicesagr,1
7270,0,video shows california  family reuniting with pet dog presumed dead in  wildfire  ,1
7766,0,help save california from the wildfires by going to  and donating  ,1
6835,0,rt  calistoga fire  tubbsfire  napafire  abc7now  kron4news  fire  california  napa ,1
6352,1,tonight is being quite interesting    a few minutes ago the fire system went off and we had to evacuate the building ,0
6456,1,volunteers served first responders today during a tanker fire in eufaula  provided cold drinks and food   okwx  tankerfir,0
6837,1, watch  us space satellite cameras spot california fire smoke  ,0
7865,0,hellish california wildfires inspire haunting web comic  ,1
7974,0,breathe safer as california wildfires rage on       airpollution ,1
8150,1,the  heat is on again across much of  california unfortunately this is what to expect  ,0
6910,0,california wildfires  what        s next   insurance  ,1
7753,0,round        up  macarthur fellows  california wildfires  and joni mitchell  ,1
8022,0,everly isbe          wildfires in california  no such   thing   ,1
6009,0,we should all have a fire safety plan  rt  mock wildfire near  vail as agencies prepare for the worst  ,1
6279,0,hermancranston   atk  letsfootball rt skanndtyagi   letsfootball  atk wired   all these fires are burning through   _ ,1
7942,1,california crews are looking forward to expected rainfall  ,0
1160,0,a change in the state fire code prohibits grills on decks at condos and apartment buildings   check with your    ,1
8047,0,sign with a positive message following devastating wildfires in sonoma  california   ,1
1154,0,fire hazard associated with installation of non compliant external cladding on    by ,1
6868,0,we are only one hour away from our live updates for the wildfires brush fires in california ,1
7246,1,guy fieri served meals for california fire survivors   mdmgradionews       f ,0
6252,0,a change in the state fire code prohibits grills on decks at condos and apartment buildings   check with your    ,1
7851,1,woman fled california fire on her bike        with her 70 pound dog on her back  ,0
7886,0,mount st  joseph student finds new opportunity after fleeing california wildfires   ,1
6979,0, edmonton sun  former  edmonton  oilers goalie grant fuhr escapes wildfires in california    ,1
6444,0,trident 90225 chevy fire truck w  pumper  ims fire dept  red ho 1 87  plastic  ,1
8224,0, bayarea  restaurants join  forces help north bay  fire    ,1
7125,1,seen from above  entire california communities reduced to ash  ,0
8056,0,rt  california imam under fire after asking allah to  annihilate  jews in sermon  ,1
6625,1, smoke   so much you don t gotta do shit but light   one of his locks on fire     that s like a whole tre five right there ,0
7299,1,       we        re going to f     g die dude          video shows men barely escape california fire  video  ,0
7007,1, follow this   images show devastation of          news  allsorce  breakingnews  products ,0
8210,0,liam anderson talks about impact of california wildfires after big race at mt  sac  ,1
7913,0,calm is here with a california newt  also called a  fire belly   ,1
8234,0,metallica to perform at northern california wildfire       concertannouncementcharityconcert ,1
6305,1, ohh there are bush fires in spain like every year one time when we went swimming there were planes getting water to fight,0
7123,1, california burning down down down ,0
6978,1, prayers  may it  rain enough to stop this  fire        f      e  anaheim  california  247publicadjusters let us help  ,0
6400,0,  auction  shoes retro 5 fire red ,1
8062,0,bannon on fire in ca  three standing ovations at gop convention keynote speech  maga  ,1
6008,0, yes god doessnt change  he says not to rejoice over the fall of people or calamities like wild fires  ect  you wanna be punished ,1
3177,0,my asshole is on fire  ,1
7643,1, housefire ignites hillside   santa cruz mountain    ,0
7321,1,rt  very sad update  mike grabow  40  confirmed dead in  tubbsfire  rip  ,0
7841,0,california        s wildfires could make 2017 a very unusual wine   vintage  ,1
8265,0,wildfires leave california vulnerable to flooding    mudslides  ,1
6789,0,thinking of all my california loved ones  friends and colleagues  please be safe   wildfires ,1
6424,1,what a night  kampers go on vacation to end our dream job party where fire truck sprays the pool with a hose  ,0
7238,0,a selection of sunday front pages focusing on the california wildfires  ,1
6935,0,rt  new   canyonfire2 in orange county  california  is now 4 000 acres  according to cal fire  ,1
8075,0,california highway patrol thanks the oceanside fire department for their service and partnership  ,1
6981,0,can all my friends and followers share and post in all social media      california burned cat from wildfires     ,1
8059,0,books  surviving the california wildfires  george saunders wins the man booker and more  ,1
6723,1,gunmen open fire on bus near el salvador s capital killing 4 a week after gang attacks killed 8 bus drivers   bit  _,0
6804,0,gofundme  how to immediately help those impacted by the california wildfires  webdesign         ,1
7005,0,if you scroll way down  past at least 12 weinstein pieces  they mention the california wildfires ,1
8028,0,  drones help  california  firefighters  ,1
6948,0,just an hour ne of the napa fires  placer county s sunset is shrouded in a smoky haze   california  wildfires  ,1
6577,1,alabama firefighters quarantined after possible ebola exposure  reports ,0
6939,0,smokey california sunset  too bad it s all on fire        5 ,1
6943,1, satan hates climate deniers   ,0
6893,0,wildfires in california created an orange glow over disneyland  latest updates   ,1
6366,0,trafford centre film fans angry after odeon cinema evacuated following false fire alarm   ,1
8254,0,14  california   blink 182         cynical         wildfire         misery ,1
6435,1,it s never a good sign when you pull up to work  amp  there s five ambulances  amp  a fire truck in the bay  wompppp at least it s friday,0
7504,0,california wildfire probes hammer pg amp e        s value  ,1
6576,1,police kill hatchet wielding gunman who opened fire inside nashville movie theater  a  middle aged man  armed wi    ,0
7248,1, horror no one could have imagined  in ca from the weather channel iphone app  ,0
7688,0,comparing notes from difficult 2017 wildfire seasons in canada  usa  mexico     nafc ,1
7227,0,rt  amazing  family dog emerges alive amid california wildfire aftermath  ,1
7368,0,disneyland during raging wildfire  california  october 9  2017  kennya boulter via reuters ,1
6971,0,rt  trump en route to california to toss water balloons at wildfires  ,1
7360,0,moron trump is tweeting nonsense while wildfires rage across california ,1
7854,0,fresno fire  california get ready  tag a friend  ,1
7597,0,inmate escapes from firefighting crew battling s  california        s canyon fire 2  ,1
6429,1, an 18 wheeler came along and struck the fire truck spinning it around 180 degrees and causing it to roll over  ,0
3171,0,marquei como visto game of thrones   3x5   kissed by fire   bancodeseri,1
8255,0,hell yeah  bring it on  rain  we want you       0      6      7        california  wildfires  cawildfires ,1
7883,0, seo article generator   blogging  backlinks   nurse fleeing california wildfires        ,1
7590,1,as california burns  trump displays little interest  ,0
8069,1, notice celebrates not takes credit for like they did the  lasvegasshooting  ,0
8141,1,1 weed  burned by california wildfires  local marijuana industry  visit 1 weed    ,0
6458,1,as firefighters make gains on  rockyfire jerry brown is heading to the area to meet with first responders tomorrow morn,0
6475,1,damn dry desert forest fire   damn    ,0
7926,0,california fires spare iconic  peanuts  skating rink   tech  news ,1
7293,1,family of four loses 14 year old son while trying to outrun deadly california   wildfire  ,0
